FID_1,BOROCODE,BORONAME,COUNTYFIPS,NTACODE,NTANAME,SHAPE_LENG,SHAPE_AREA,SUM_TOTAL_POP,COUNT_CONSTRUCTIONNOISE,COUNT_subwaystops,COUNT_SHOOTINGS,Shootings_Weighted_Pop,COUNT_SAT,AVG_TOTAL_SCORE,STDDEV_TOTALSCORE,AVG_MATH,VAR_MATH,AVG_LOTARE,AVG_FAR,AVG_ASSESSEDVAL_TOTAL,COM_FAR,RESI_FAR,OFFICE_FAR,RETAIL_FAR,GARG_FAR,STRG_FAR,FACT_FAR,AVG_UNITSTOTAL,AVG_PERCENT_OCC,AVG_MEDIAN_HHINCOME,AVG_MEANHH_HHINCOME,AVG_PCT_POVERTY,COUNT_GRAFFITI,COUNT_DIRTY,COUNT_DERELICTVEHICLES,AVG_MEDHOME_VAL,AVG_MED_GROSS_RENTAL,Rent_pct_inc
59,2,Bronx,5,BX43,Norwood,22148.64528,15708884.68,25989,17,13,2,4.360908813,0,0,0,0,0,40913.19372,0.45647303,152073.5792,0.111749845,0.344723185,0.006902967,0.014862398,0.026409935,0.000668088,0.001087175,14.255605,95.633333,30056,39612.4,23.05,6,144,7,209066.6667,859.133333,0.343013803
60,1,Manhattan,61,MN06,Manhattanville,17040.68573,10647077.75,23598,14,8,0,0,2,1195,159.8061325,410.5,3280.5,19775.53792,1.549788341,106553.1624,0.74848612,0.801302221,0.326688377,0.050336136,0.079803103,0.058390512,0.005815026,19.14455,93.363636,28158,45512.45455,27.35,10,33,10,205281.8182,727.454545,0.310011848
61,2,Bronx,5,BX06,Belmont,17114.4307,13557355.1,29444,6,0,2,3.805718091,6,1126.833333,31.16033804,382.833333,106.166667,8126.704418,1.278096892,55429.88017,0.441570539,0.836526353,0.193654971,0.069349925,0.053435513,0.008310052,0.00618448,7.899598,94.0875,21527,30141.375,37.99,16,80,12,318856.25,854.75,0.476481092
62,4,Queens,81,QN66,Laurelton,29501.11011,39763385.28,16574,4,0,6,23.19194385,4,1190.5,65.35288823,395.75,1021.583333,4772.877257,0.358899063,139748621.4,0.038309971,0.320589092,0.004622558,0.012981378,0.00048339,0.002888349,9.20286E-05,1.272421,95.2,76209,81785.52632,4.5,7,116,67,395905.2632,1199.631579,0.188895787
63,5,Staten Island,85,SI14,Grasmere-Arrochar-Ft. Wadsworth,40059.0637,40945224.91,23114,12,1,3,6.32788162,0,0,0,0,0,13574.31288,0.202002145,184014.0901,0.036365665,0.16563648,0.005941262,0.005347717,0.001960298,0.001555498,0.000108727,1.775635,92.723077,61026,78826.30769,11.63,7,64,25,424207.6923,972.461538,0.191221681
64,4,Queens,81,QN34,Queens Village,41782.40014,69533432.64,30230,13,0,10,36.85117544,0,0,0,0,0,3738.630215,0.502212499,3852451.278,0.085107423,0.416789094,0.00936051,0.024139874,0.007513727,0.007160914,0.00555985,1.52203,94.5,70327,81765.29412,7.85,5,223,104,426747.0588,1077.823529,0.183909469
65,4,Queens,81,QN42,Oakland Gardens,42330.08035,50976145.88,17804,13,0,2,6.216972334,1,1529,0,551,0,10017.36809,0.403253066,54674.54581,0.065573126,0.33767994,0.004233993,0.005262764,0.000133488,4.77086E-05,0,2.793869,89.335714,62269,74591.42857,8.95,8,56,27,407635.7143,969.214286,0.186780765
66,4,Queens,81,QN15,Far Rockaway-Bayswater,49201.28886,54351305.96,19140,10,1,27,50.12903585,0,0,0,0,0,10032.61249,0.421633994,43254.53416,0.073359705,0.348274289,0.006358497,0.014136687,0.001254101,0.005275939,0.002373061,3.501751,82.75,36212,52442,20.38,7,140,43,435960,840.6,0.278556517
67,4,Queens,81,QN02,Springfield Gardens North,25433.58253,28428436.86,19034,2,0,6,12.76496983,2,1180,97.5807358,400.5,1624.5,6549.695639,0.673377302,2841235.831,0.108013077,0.565364225,0.007604384,0.018749557,0.000652298,0.015742114,0.000449126,3.353624,92.318182,66468,75264.45455,8.58,0,42,41,384345.4545,1363.363636,0.246137602
68,4,Queens,81,QN08,St. Albans,45401.31661,77412748.31,38017,5,0,16,67.35581647,1,1215,0,415,0,4392.560954,0.422100947,403927.124,0.070929956,0.351170991,0.016468997,0.017985663,0.002745103,0.005305919,0.004471988,1.320259,91.068889,61977,72929.13333,9.66,5,441,89,397980,1094.422222,0.211902873
69,3,Brooklyn,47,BK50,Canarsie,43739.12998,82041754.22,44351,16,1,1,3.889440582,2,1103.5,17.67766953,361.5,24.5,5297.458324,0.545120327,143324.4366,0.118973092,0.426147235,0.017789357,0.017806009,0.006393394,0.008088177,0.004944383,2.218772,92.629787,59007,68699.82979,13.59,4,310,169,451859.5745,1107.489362,0.225224134
70,3,Brooklyn,47,BK72,Williamsburg,16874.44718,11590082.68,23430,5,7,1,2.218394404,2,1117.5,53.03300859,377.5,144.5,5112.482434,1.75689449,246611.1112,0.514693599,1.242200892,0.118778344,0.048346133,0.018852178,0.022077119,0.038827153,6.010665,92.588235,24314,36343.47059,44.91,9,44,14,491705.8824,911.058824,0.449645449
71,1,Manhattan,61,MN23,West Village,29385.03047,25000526.01,70993,197,45,0,0,3,1219.666667,127.1586935,393,1897,5594.385742,3.892758779,252300.7584,1.584988986,2.307769792,0.576696311,0.329906312,0.096504691,0.108089291,0.013421089,15.987588,89.0625,96246,160234.4167,11.36,18,292,34,411125,1216.083333,0.151622476
72,1,Manhattan,61,MN22,East Village,13539.19763,10895491.37,49585,137,8,0,0,1,1251,0,431,0,4217.089392,3.483180136,106612.2139,1.003178932,2.480001204,0.07817954,0.299143646,0.014856119,0.0223701,0.000359511,16.668057,93.75,69301,106486.2778,17.27,20,163,29,518266.6667,1017.722222,0.176225566
73,1,Manhattan,61,MN27,Chinatown,20788.88897,14501953.1,43404,131,14,2,3.680680517,10,1219.8,96.87540681,433.8,6398.622222,6583.002009,3.107450616,265462.5386,1.788344965,1.320450424,0.578112031,0.326967239,0.052114571,0.117121548,0.006203336,15.715338,93.561111,46601,71383.72222,24.6,53,119,14,405133.3333,875.277778,0.225388583
74,2,Bronx,5,BX10,Pelham Bay-Country Club-City Island,139408.5645,40248130.4,18728,11,5,0,0,0,0,0,0,0,10548.53887,0.289654668,75604.69416,0.03569301,0.253961658,0.010717043,0.011538555,0.001142592,0.000756097,0.001223284,2.471118,94.016667,58547,65726,10.67,24,609,40,396225,1146.666667,0.235023179
75,2,Bronx,5,BX62,Woodlawn-Wakefield,38709.07895,39744928.74,24693,14,5,0,0,0,0,0,0,0,3580.903185,0.795979734,324016.7506,0.106313259,0.689666475,0.014962954,0.025717703,0.010575995,0.017075559,0.013108841,2.313456,94.07619,52622,60951.66667,12.11,6,206,114,374242.8571,1086.047619,0.247662811
76,2,Bronx,5,BX01,Claremont-Bathgate,29972.77617,16451618.51,25850,0,0,3,8.934814699,8,1188.875,98.8049124,401.625,1815.982143,8741.727569,1.553949396,119472.9912,0.528259857,1.02568954,0.16120932,0.050969278,0.025805334,0.041078967,0.083733976,10.295269,86.017391,19721,27412.17391,38.12,10,65,21,176778.2609,715.043478,0.435101427
77,4,Queens,81,QN71,Old Astoria,19335.56744,15621244.14,34836,46,3,0,0,0,0,0,0,0,4989.748875,1.29923898,69385.78117,0.297093537,1.003314266,0.034893321,0.041774937,0.017261402,0.048059108,0.050102992,6.110711,81.965,45704,60383.05,13.35,7,74,33,534425,1062.35,0.27893116
78,4,Queens,81,QN70,Astoria,32530.69495,39334264.46,54866,82,14,1,3.561193169,3,1495.333333,224.0364554,512.666667,4524.333333,3550.381308,1.502208154,1010287.495,0.334601079,1.167607075,0.055734813,0.099789504,0.019609395,0.036063108,0.0209256,5.264887,87.388095,46354,58703.2381,15.04,26,334,90,534854.7619,1096.214286,0.283786491
79,1,Manhattan,61,MN50,Stuyvesant Town-Cooper Village,11000.15875,5575232.225,22364,26,2,0,0,0,0,0,0,0,552704.9167,1.850455616,175702.0599,0.118520597,1.731935018,0.003164588,0.014113016,0.098756736,0,0,941.75,95.216667,67750,88548.83333,17.18,0,25,2,202400,1331,0.235749077
80,3,Brooklyn,47,BK09,Brooklyn Heights-Cobble Hill,14255.87067,9985779.546,21677,84,12,0,0,0,0,0,0,0,5987.433099,2.961653134,115373.7353,1.285259325,1.675995909,0.631490016,0.105087828,0.223046863,0.020991384,0,10.693662,81.30625,80979,122542.25,6.84,1,60,9,416356.25,1071.625,0.158801043
81,3,Brooklyn,47,BK30,Dyker Heights,30562.58351,29908238.23,34636,38,0,0,0,0,0,0,0,0,2847.147548,1.037527753,468971.2579,0.146833577,0.890761127,0.038347886,0.042484796,0.002829551,0.001745509,0.002389004,2.311869,83.475758,50680,66269.84849,15.45,17,174,41,601203.0303,1155.454545,0.27358829
82,3,Brooklyn,47,BK28,Bensonhurst West,37136.96325,46666292.79,67036,39,26,1,2.987225219,3,1240,61.79805822,426.666667,1684.333333,3052.841893,1.244470749,182760.6412,0.195238608,1.049232141,0.032978552,0.090302566,0.005243917,0.013205748,0.015403052,3.214272,88.886275,41414,57659.11765,16.53,58,271,48,645609.8039,1034.333333,0.299702008
83,5,Staten Island,85,SI22,West New Brighton-New Brighton-St. George,67956.50587,56064920.46,29816,24,2,3,8.422127224,3,1265.333333,42.253205,434.666667,36.333333,9223.450664,0.404927599,313191.0418,0.141920981,0.263006619,0.047240159,0.008970814,0.015126671,0.008621477,0.020193489,2.32392,90.618182,59798,73324,20.47,2,198,54,390359.0909,1127.681818,0.226299094
84,5,Staten Island,85,SI35,New Brighton-Silver Lake,30322.52369,47140398.51,20658,3,0,4,12.57071025,0,0,0,0,0,7819.186816,0.300824428,4921759.83,0.061334179,0.239490249,0.016842898,0.023621878,0.001043245,0.000461623,0,2.434078,91.541176,62741,77142.11765,17.31,1,101,30,413305.8824,1139.529412,0.217949439
85,4,Queens,81,QN61,Jamaica,43696.36525,47308036.15,43845,13,27,10,27.81060975,0,0,0,0,0,5438.748906,1.056403115,210370.997,0.548745128,0.507657987,0.123299836,0.113083364,0.052675964,0.054689447,0.047718375,3.821172,90.502778,49474,61057.63889,15.74,41,362,83,441761.1111,1058.5,0.25673904
86,5,Staten Island,85,SI48,Arden Heights,29689.45445,50407328.9,18053,6,0,3,5.575171901,0,0,0,0,0,4651.655427,0.400687531,258249658.1,0.012841035,0.387846496,0.003379779,0.007619522,5.57586E-06,5.01828E-05,0,1.191804,94.088889,76829,88657.22222,4.3,1,79,28,446255.5556,987.555556,0.154247534
87,5,Staten Island,85,SI07,Westerleigh,41649.91806,63293571.53,28249,6,0,0,0,0,0,0,0,0,6101.499736,0.303451154,90311.29553,0.043312166,0.260138988,0.016737656,0.014362036,0.000564594,0.000518182,0,1.345717,94.931579,76764,91186.05263,9.95,7,72,29,470168.4211,1261.473684,0.197196483
88,5,Staten Island,85,SI28,Port Richmond,38925.85394,36421059.73,18371,4,0,0,0,1,1304,0,442,0,5623.488745,0.385592513,93854.36794,0.09642826,0.289164253,0.019609511,0.032170081,0.005814577,0.008405649,0.003064581,1.490621,93.683333,67264,80479.33333,12.76,8,118,16,410858.3333,1304.583333,0.232741094
89,2,Bronx,5,BX36,University Heights-Morris Heights,24298.14112,21251406.37,35384,14,3,9,21.01617077,0,0,0,0,0,8598.648568,1.674832068,57711.48871,0.285106342,1.389725727,0.145014046,0.041713138,0.035005987,0.005864759,0.00116228,19.208234,88.829167,25327,33839.58333,33.61,2,97,20,276433.3333,807.833333,0.382755472
90,4,Queens,81,QN46,Bayside-Bayside Hills,43014.8053,80797535.8,40200,23,0,2,6.70588594,1,1470,0,531,0,5095.71563,0.453180666,77031.46996,0.07674242,0.376438246,0.016773432,0.019329184,0.003074138,0.000802147,0.000309916,1.593953,92.390909,66811,82159.0303,6.05,7,179,44,543275.7576,1241.151515,0.222923428
91,4,Queens,81,QN45,Douglas Manor-Douglaston-Little Neck,45832.62419,68567677.5,14878,9,0,3,8.033203909,0,0,0,0,0,11018.12955,0.270740742,115365.61,0.038757743,0.231982999,0.006816324,0.013465559,0.001452606,0.000124106,5.26353E-05,1.821913,86.3,76599,89329.7,7.43,1,111,22,525910,1177,0.184387867
