FID,OID_1,lon,lat,time,content,tags,FID_1,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area
48,312,-73.908311999999995,40.672305999999999,Sun Nov 09 03:18:32 +0000 2014,I just noticed that I'm really not happy at all.....,[],13,3,Brooklyn,047,BK81,Brownsville,"27,300.781233000002000","32,730,861.109099999000000"
49,891,-73.915035000000003,40.666350000000001,Sun Nov 09 05:03:18 +0000 2014,@dvir_saar @Fergie it gonna be nice,[],13,3,Brooklyn,047,BK81,Brownsville,"27,300.781233000002000","32,730,861.109099999000000"
50,"1,214",-73.914807999999994,40.666378000000002,Tue Nov 11 15:00:14 +0000 2014,Happy veterans day,[],13,3,Brooklyn,047,BK81,Brownsville,"27,300.781233000002000","32,730,861.109099999000000"
51,"1,515",-73.909842999999995,40.666916999999998,Tue Nov 11 16:26:25 +0000 2014,Sino hubiera envidia rencor miedo  venganza guerra muertes y mujeres k se dan a respetar&amp;manes fiels y k solo amor hubiera cm seria el mundo,[],13,3,Brooklyn,047,BK81,Brownsville,"27,300.781233000002000","32,730,861.109099999000000"
52,"1,634",-73.909942999999998,40.666929000000003,Tue Nov 11 17:05:45 +0000 2014,DAGA le gustara McDonald's :G,[],13,3,Brooklyn,047,BK81,Brownsville,"27,300.781233000002000","32,730,861.109099999000000"
53,"2,238",-73.914879999999997,40.666231000000003,Thu Nov 13 17:48:29 +0000 2014,@PLLSpoby_ @mitchxpieterse haleb spoby ezria,[],13,3,Brooklyn,047,BK81,Brownsville,"27,300.781233000002000","32,730,861.109099999000000"
54,"1,110",-73.889388999999994,40.662443000000003,Sun Nov 09 05:44:15 +0000 2014,BBC RT @Khaos_Music: RT @Santo_david1: Titty long Like Line a Embassy pan a monday http://t.co/C0lj6CMq1z,[],14,3,Brooklyn,047,BK85,East New York (Pennsylvania Ave),"24,226.850777100000000","19,397,527.299300000000000"
55,"1,732",-73.974812000000000,40.643428000000000,Tue Nov 11 17:39:54 +0000 2014,You are you are the love of my life http://t.co/ti2bPHCTym,[],15,3,Brooklyn,047,BK41,Kensington-Ocean Parkway,"20,800.556075400000000","15,893,349.438600000000000"
56,123,-74.154358999999999,40.630453000000003,Sun Nov 09 02:39:02 +0000 2014,Let it down,[],18,5,Staten Island,085,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,"72,466.638983700002000","89,057,577.287599996000000"
57,45,-73.930002999999999,40.646476000000000,Sun Nov 09 02:21:57 +0000 2014,radicalonfire aka Jason ""Conquest"" Roberts performing at his CD Release Concert! #brooklyn #nyc #musicâ€¦ http://t.co/w92gYch0Td,"['brooklyn', 'nyc', 'music']",20,3,Brooklyn,047,BK91,East Flatbush-Farragut,"39,211.412045400000000","34,362,243.057999998000000"
58,"1,073",-73.937777999999994,40.654682999999999,Sun Nov 09 05:40:38 +0000 2014,Birthday Wishes From My Family.,[],20,3,Brooklyn,047,BK91,East Flatbush-Farragut,"39,211.412045400000000","34,362,243.057999998000000"
59,"1,539",-73.947584000000006,40.639395000000000,Tue Nov 11 16:33:40 +0000 2014,Why do I have to wait until April for #FROOT ðŸ˜­,['FROOT'],20,3,Brooklyn,047,BK91,East Flatbush-Farragut,"39,211.412045400000000","34,362,243.057999998000000"
60,"2,039",-73.937762000000006,40.654687000000003,Thu Nov 13 16:35:36 +0000 2014,@PaiHarris It's just the Story Lines on Sleepy Hollow Season 2 Is Not Watchable.,[],20,3,Brooklyn,047,BK91,East Flatbush-Farragut,"39,211.412045400000000","34,362,243.057999998000000"
61,"2,041",-73.937815000000001,40.654674000000000,Thu Nov 13 16:34:36 +0000 2014,@PaiHarris Nicole is still on Sleepy Hollow.,[],20,3,Brooklyn,047,BK91,East Flatbush-Farragut,"39,211.412045400000000","34,362,243.057999998000000"
62,108,-73.967841000000007,40.695391000000001,Sun Nov 09 02:33:19 +0000 2014,@ActualUchiha Well OK I'm doing this all for you. :) Man what a Drag....,[],22,3,Brooklyn,047,BK69,Clinton Hill,"23,971.460865300000000","20,528,139.593899999000000"
63,137,-73.959958000000000,40.692194999999998,Sun Nov 09 02:39:03 +0000 2014,@squarepegjam RIGHT? I've heard people say they want to date ""ghetto black girls"" because they think it would be fun... -__-,[],22,3,Brooklyn,047,BK69,Clinton Hill,"23,971.460865300000000","20,528,139.593899999000000"
64,303,-73.966555999999997,40.683438000000002,Sun Nov 09 03:09:44 +0000 2014,Going to bed early football 2morrow,[],22,3,Brooklyn,047,BK69,Clinton Hill,"23,971.460865300000000","20,528,139.593899999000000"
65,332,-73.955168999999998,40.681421000000000,Sun Nov 09 03:20:35 +0000 2014,"NYC's hottest private party: spaghetti + herb, ricotta turkey meatballs, maple roasted Brussels &amp;â€¦ http://t.co/tji01afxLo",[],22,3,Brooklyn,047,BK69,Clinton Hill,"23,971.460865300000000","20,528,139.593899999000000"
66,859,-73.964534999999998,40.694282000000001,Sun Nov 09 04:57:34 +0000 2014,today turned out be to be so ridiculous,[],22,3,Brooklyn,047,BK69,Clinton Hill,"23,971.460865300000000","20,528,139.593899999000000"
67,881,-73.963480000000004,40.687097999999999,Sun Nov 09 05:04:53 +0000 2014,"Old.
#illustration @ Terwilliger Towers http://t.co/QK4r2sVwYn",['illustration'],22,3,Brooklyn,047,BK69,Clinton Hill,"23,971.460865300000000","20,528,139.593899999000000"
68,"1,142",-73.963734000000002,40.690384000000002,Tue Nov 11 14:39:58 +0000 2014,http://t.co/QPYgqqu7dI,[],22,3,Brooklyn,047,BK69,Clinton Hill,"23,971.460865300000000","20,528,139.593899999000000"
69,"1,505",-73.932506000000004,40.831451999999999,Tue Nov 11 16:25:54 +0000 2014,no homo,[],23,2,Bronx,005,BX26,Highbridge,"18,507.418463499998000","16,457,559.755500000000000"
70,253,-73.969282000000007,40.612006999999998,Sun Nov 09 03:04:52 +0000 2014,Take me back?ðŸ˜« @MahoganyLOX http://t.co/4ylixGCA1X,[],24,3,Brooklyn,047,BK46,Ocean Parkway South,"21,975.997984199999000","17,782,031.868099999000000"
71,"1,701",-73.877813000000003,40.647525000000002,Tue Nov 11 17:23:21 +0000 2014,Had a blast yesterday... @gabri3llemarie and @sashadeshae ate through those sandwiches lol! Always theâ€¦ http://t.co/kHVLNTkSGO,[],25,3,Brooklyn,047,BK93,Starrett City,"17,414.781632900002000","11,598,945.823600000000000"
72,13,-73.868450999999993,40.742463999999998,Sun Nov 09 02:19:56 +0000 2014,I wanna party ðŸ˜­,[],28,4,Queens,081,QN29,Elmhurst,"36,705.016169000002000","32,671,507.814900000000000"
